school,name,tag
Florida,Gators,reptile
Colorado,Buffalos,horned
Pittsburgh,Panthers,cat
Vcu,Rams,horned
Steven F. Austin,Lumberjacks,human
Ucla,Bruins,bear
Tulsa,Golden Hurricanes,human
Ohio State,Buckeyes,???
Dayton,Flyers,human
Syracuse,Orangemen,???
Western Michigan,Broncos,horse
New Mexico State,Aggies,human
Stanford,Cardinals,other
Kansas,Jayhawks,bird
Eastern Kentucky,Colonels,human
Virginia,Cavaliers,human
Coastal Carolina,Chanticleers,bird
Memphis,Tigers,cat
George Washington,Colonials,human
Cincinnati,Bearcats,other
Harvard,Crimson,human
Michigan State,Spartans,human
Delaware,Fighting Blue Hens,bird
North Carolina,Tarheels,horned
Providence,Friar Boys,evil
Iowa State,Cyclones,bird
North Carolina Central,Eagles,bird
Connecticut,Huskies,dog
Saint Joseph's,Hawks,bird
Villanova,Wildcats,cat
Milwaukee,Panthers,cat
Arizona,Wildcats,cat
Weber State,Wildcats,cat
Gonzaga,Bulldogs,dog
Oklahoma St.,Cowboys,evil
Oklahoma,Sooners,horse
North Dakota State,Bison,horned
San Diego State,Aztecs,human
New Mexico,Lobos,dog
Baylor,Bears,bear
Nebraska,Cornhuskers,human
Creighton,Bluejays,bird
UL Lafayette,Ragin Cajuns,other
Oregon,Ducks,bird
BYU,Cougars,cat
Wisconsin,Badgers,other
American,Eagles,bird
Wichita State,Shockers,???
Kentucky,Wildcats,cat
Kansas State,Wildcats,cat
Saint Louis,Billikens,???
Louisville,Cardinals,bird
Manhattan,Jaspers,other
UMass,Minutemen,human
Duke,Blue Devils,evil
Mercer,Bears,bear
Texas,Longhorns,horned
Arizona State,Sun Devils,evil
Michigan,Wolverines,other
Wofford,Terriers,dog
Iowa,Hawkeyes,bird
Tennessee,Volunteers,dog
NC State,Wolfpack,dog
Xavier,Musketeers,???
Albany,Great Danes,dog
Texas Southern,Tigers,cat
Cal Poly,Mustangs,horse
